#,Symbol
904,INDIANCARD
905,INDIANHUME
906,INDIASHLTR
907,INDIGO
908,INDIGOPNTS
909,INDIQUBE
910,INDNIPPON
911,INDOAMIN
912,INDOBORAX
913,INDOCO
914,INDOFARM
915,INDORAMA
916,INDOSTAR
917,INDOTECH
918,INDOTHAI
919,INDOUS
920,INDOWIND
921,INDRAMEDCO
922,INDSWFTLAB
923,INDTERRAIN
924,INDUSINDBK
925,INDUSTOWER
926,INFOBEAN
927,INFOMEDIA
928,INFY
929,INGERRAND
930,INNOVACAP
931,INNOVANA
932,INOXGREEN
933,INOXINDIA
934,INOXWIND
935,INSECTICID
936,INSPIRISYS
937,INTELLECT
938,INTENTECH
939,INTERARCH
940,INTLCONV
941,INVENTURE
942,IOB
943,IOC
944,IOLCP
945,IONEXCHANG
946,IPCALAB
947,IPL
948,IRB
949,IRCON
950,IRCTC
951,IREDA
952,IRFC
953,IRIS
954,IRISDOREME
955,IRMENERGY
956,ISFT
957,ISGEC
958,ISHANCH
959,ITC
960,ITCHOTELS
961,ITDC
962,ITI
963,IVALUE
964,IVC
965,IVP
966,IXIGO
967,IZMO
968,J&KBANK
969,JAGRAN
970,JAGSNPHARM
971,JAIBALAJI
972,JAICORPLTD
973,JAINREC
974,JAIPURKURT
975,JAMNAAUTO
976,JARO
977,JASH
978,JAYAGROGN
979,JAYBARMARU
980,JAYKAY
981,JAYNECOIND
982,JAYSREETEA
983,JBCHEPHARM
984,JBMA
985,JETFREIGHT
986,JGCHEM
987,JHS
988,JINDALPHOT
989,JINDALPOLY
990,JINDALSAW
991,JINDALSTEL
992,JINDRILL
993,JINDWORLD
994,JIOFIN
995,JISLDVREQS
996,JISLJALEQS
997,JITFINFRA
998,JKCEMENT
999,JKIL
1000,JKIPL
1001,JKLAKSHMI
1002,JKPAPER
1003,JKTYRE
1004,JLHL
1005,JMA
1006,JMFINANCIL
1007,JNKINDIA
1008,JOCIL
1009,JPASSOCIAT
1010,JPOLYINVST
1011,JPPOWER
1012,JSFB
1013,JSL
1014,JSLL
1015,JSWCEMENT
1016,JSWENERGY
1017,JSWHL
1018,JSWINFRA
1019,JSWSTEEL
1020,JTEKTINDIA
1021,JTLIND
1022,JUBLCPL
1023,JUBLFOOD
1024,JUBLINGREA
1025,JUBLPHARMA
1026,JUNIPER
1027,JUSTDIAL
1028,JWL
1029,JYOTHYLAB
1030,JYOTICNC
1031,JYOTISTRUC
1032,KABRAEXTRU
1033,KAJARIACER
1034,KAKATCEM
1035,KALAMANDIR
1036,KALPATARU
1037,KALYANI
1038,KALYANIFRG
1039,KALYANKJIL
1040,KAMATHOTEL
1041,KAMDHENU
1042,KAMOPAINTS
1043,KANANIIND
1044,KANORICHEM
1045,KANPRPLA
1046,KANSAINER
1047,KAPSTON
1048,KARMAENG
1049,KARURVYSYA
1050,KAUSHALYA
1051,KAVDEFENCE
1052,KAYA
1053,KAYNES
1054,KCP
1055,KCPSUGIND
1056,KDDL
1057,KEC
1058,KECL
1059,KEEPLEARN
1060,KEI
1061,KELLTONTEC
1062,KERNEX
1063,KESORAMIND
1064,KEYFINSERV
1065,KFINTECH
1066,KHADIM
1067,KHAICHEM
1068,KHAITANLTD
1069,KHANDSE
1070,KICL
1071,KILITCH
1072,KIMS
1073,KINGFA
1074,KIOCL
1075,KIRIINDUS
1076,KIRLOSBROS
1077,KIRLOSENG
1078,KIRLOSIND
1079,KIRLPNU
1080,KITEX
1081,KKCL
1082,KMEW
1083,KMSUGAR
1084,KNAGRI
1085,KNRCON
1086,KOHINOOR
1087,KOKUYOCMLN
1088,KOLTEPATIL
1089,KOPRAN
1090,KOTAKBANK
1091,KOTARISUG
1092,KOTHARIPET
1093,KOTHARIPRO
1094,KPEL
1095,KPIGREEN
1096,KPIL
1097,KPITTECH
1098,KPRMILL
1099,KRBL
1100,KREBSBIO
1101,KRIDHANINF
1102,KRISHANA
1103,KRISHIVAL
1104,KRISHNADEF
1105,KRITI
1106,KRITIKA
1107,KRITINUT
1108,KRN
1109,KRONOX
1110,KROSS
1111,KRSNAA
1112,KRYSTAL
1113,KSB
1114,KSCL
1115,KSHINTL
1116,KSHITIJPOL
1117,KSL
1118,KSOLVES
1119,KSR
1120,KTKBANK
1121,KUANTUM
1122,KWIL
1123,LAGNAM
1124,LAKPRE
1125,LAL
1126,LALPATHLAB
1127,LAMBODHARA
1128,LANCORHOL
1129,LANDMARK
1130,LAOPALA
1131,LASA
1132,LATENTVIEW
1133,LATTEYS
